Bkg Branch,Delivery Branch,Card Rate
MAPUCA,NIZAMABAD,12.2
MAPUCA,PATANCHERU,9.6
MAPUCA,SECUNDERABAD,9.5
MAPUCA,WARANGAL,12.2
MAPUCA,BARODA - KARELIBAUG,7.3
MAPUCA,DASHRATH,9.2
MAPUCA,GODHRA PANCHMAHAL,7.8
MAPUCA,HALOL (GIDC),7.3
MAPUCA,JAROD,7.6
MAPUCA,MAKARPURA,7.3
MAPUCA,MANJUSAR,7.2
MAPUCA,NANDESARI,7.6
MAPUCA,PADRA (DHABASA),7.4
MAPUCA,POR,7.2
MAPUCA,V V NAGAR,7.4
MAPUCA,WAGHODIA,7.6
MAPUCA,AMBATTUR-CHENNAI,8.4
MAPUCA,BROADWAY - CHENNAI,8.4
MAPUCA,CUDDAPAH,12.2
MAPUCA,GUINDY-CHENNAI,8.4
MAPUCA,GUMMIDIPOONDI - CHENNAI,9
MAPUCA,NELLORE,12.6
MAPUCA,PALLAVARAM - CHENNAI,8.5
MAPUCA,PARIVAKKAM-CHENNAI,7.8
MAPUCA,REDHILLS - CHENNAI,8.6
MAPUCA,SRICITY - TADA,9.1
MAPUCA,THIRUVALLUR - CHE,9
MAPUCA,TIRUPATHI,13.7
MAPUCA,AMBUR,10.4
MAPUCA,CHITTOOR,12.6
MAPUCA,CUDDALORE,9.9
MAPUCA,KELAMBAKKAM,9.9
MAPUCA,MARAIMALAI NAGAR - CHE,8.7
MAPUCA,ORAGADAM-CHE,9
MAPUCA,PANRUTI,9.3
MAPUCA,PERUNGUDI,8.7
MAPUCA,PONDICHERRY,9.3
MAPUCA,RANIPET,9.6
MAPUCA,SRIPERUMBUDUR,8.4
MAPUCA,THIRUVNNAMALAI,10.5
MAPUCA,VILLUPURAM,10
MAPUCA,BARGUR,9.1
MAPUCA,COIMBATORE BRANCH,8.1
MAPUCA,DHARMAPURI,9.4
MAPUCA,ERODE,8.8
MAPUCA,KANJIKODE,10.4
MAPUCA,KARUR,9.1
MAPUCA,KOMARAPALAYAM,9
MAPUCA,KOVILPATTI,9.2
MAPUCA,KUMBAKONAM,10.2
MAPUCA,METTUR DAM,9.3
MAPUCA,NAMAKKAL,8.4
MAPUCA,NEELAMBUR,8.7
MAPUCA,PERUNDURAI SIPCOT,8.9
MAPUCA,POLLACHI,9.2
MAPUCA,PUDUKKOTTAI,9
MAPUCA,SALEM,7.6
MAPUCA,THANJAVUR,9.1
MAPUCA,TIRUCHENGODE,8.3
MAPUCA,TIRUPUR,9
MAPUCA,TRICHY,8.8
MAPUCA,UDUMALPET,10.5
MAPUCA,ALLEPPEY,11.1
MAPUCA,CALICUT,11.4
MAPUCA,COCHIN (ERNAKULAM),9.9
MAPUCA,KALAMASSERY,9.9
MAPUCA,KANNUR,11.1
MAPUCA,KOLLAM FR,12.4
MAPUCA,KOTTAYAM,8.9
MAPUCA,MANJERI,10.6
MAPUCA,PERUMBAVOOR,12
MAPUCA,TRICHUR,10
MAPUCA,TRIVANDRUM,11
MAPUCA,DINDIGUL,8.9
MAPUCA,MADURAI,8.5
MAPUCA,NAGERCOIL,9.1
MAPUCA,RAJAPALAYAM,10.3
MAPUCA,SIVAKASI,9.2
MAPUCA,TIRUNELVELI,10.3
MAPUCA,TUTICORIN,10.5
MAPUCA,BEGUSARAI,17.75
MAPUCA,GAYA,17.75
MAPUCA,JAMSHEDPUR,19.9
MAPUCA,MUZAFFARPUR,17.75
